town,county,ZIPcode,Deaths,Population,Deaths_per_100000,SVI
Litchfield,Litchfield,6778,1.0,1322.0,75.642965204236,
Manchester,Hartford,6040,26.0,34661.0,75.01226161968783,SVI
Canaan,Litchfield,6031,1.0,1344.0,74.4047619047619,
Waterbury,New Haven,6708,22.0,29619.0,74.2766467470205,SVI
West Hartford,Hartford,6107,14.0,19104.0,73.28308207705193,
Suffield,Hartford,6078,9.0,12282.0,73.27796775769419,
Monroe,Fairfield,6468,14.0,19546.0,71.62590811419216,
Groton,New London,6355,9.0,12628.0,71.27019322141274,
Southbury,New Haven,6488,14.0,19681.0,71.13459681926732,
Stamford,Fairfield,6907,6.0,8435.0,71.13218731475993,
Norwich,New London,6380,2.0,2816.0,71.02272727272727,
Middletown,Middlesex,6457,33.0,46511.0,70.95095783793082,
Westport,Fairfield,6880,19.0,28376.0,66.95799266986185,
Winchester,Litchfield,6098,8.0,11962.0,66.87844841999666,SVI
Madison,New Haven,6443,12.0,18113.0,66.25075912328163,
Waterbury,New Haven,6710,7.0,10774.0,64.97122702803044,SVI
Beacon Falls,New Haven,6403,4.0,6168.0,64.85084306095979,
Berlin,Hartford,6023,1.0,1558.0,64.18485237483954,
New Canaan,Fairfield,6840,13.0,20276.0,64.11521010061156,
Killingworth,Middlesex,6419,4.0,6392.0,62.57822277847309,
Milford,New Haven,6460,24.0,38959.0,61.60322390205087,
Bethel,Fairfield,6801,12.0,19634.0,61.11846796373638,
East Lyme,New London,6357,7.0,11548.0,60.61655697956356,
Haddam,Middlesex,6441,3.0,5011.0,59.86828976252245,
Old Saybrook,Middlesex,6475,6.0,10090.0,59.46481665014866,
Avon,Hartford,6001,11.0,18516.0,59.40807949881184,
Ledyard,New London,6339,5.0,8449.0,59.17860101787194,
Bridgewater,Litchfield,6752,1.0,1718.0,58.20721769499418,
Wallingford,New Haven,6492,26.0,44693.0,58.174658223882936,
East Windsor,Hartford,6016,4.0,6889.0,58.06357961968355,
Brookfield,Fairfield,6804,10.0,17292.0,57.83021050196623,
Simsbury,Hartford,6070,9.0,15734.0,57.20096606076014,
Plainville,Hartford,6062,10.0,17619.0,56.756910153811226,SVI
Farmington,Hartford,6032,10.0,17678.0,56.56748500961647,
Franklin,New London,6254,1.0,1778.0,56.2429696287964,
Bethany,New Haven,6524,3.0,5513.0,54.41683294032287,
Farmington,Hartford,6085,4.0,7362.0,54.333061668024996,
Naugatuck,New Haven,6770,17.0,31557.0,53.87077352093038,SVI
Easton,Fairfield,6612,4.0,7529.0,53.12790543232833,
North Branford,New Haven,6471,4.0,7600.0,52.63157894736842,
Glastonbury,Hartford,6073,3.0,5830.0,51.45797598627787,
Litchfield,Litchfield,6759,3.0,5843.0,51.34348793428033,
Hebron,Tolland,6231,2.0,3907.0,51.19017148707448,
Southington,Hartford,6489,17.0,33522.0,50.71296462024939,
Watertown,Litchfield,6795,7.0,13861.0,50.50140682490441,
Bristol,Hartford,6010,30.0,60218.0,49.81899099936896,
Norwalk,Fairfield,6853,2.0,4023.0,49.71414367387522,
Ellington,Tolland,6029,8.0,16125.0,49.6124031007752,
Wilton,Fairfield,6897,9.0,18463.0,48.74614093050967,
Manchester,Hartford,6042,11.0,23144.0,47.52851711026616,
Norwich,New London,6360,17.0,36396.0,46.708429497747005,SVI
Ashford,Windham,6278,2.0,4363.0,45.84001833600733,
Fairfield,Fairfield,6824,16.0,35349.0,45.26294944694334,
Deep River,Middlesex,6417,2.0,4480.0,44.642857142857146,
Simsbury,Hartford,6092,2.0,4493.0,44.51368795904741,
Redding,Fairfield,6896,4.0,9127.0,43.826010737372634,
New Haven,New Haven,6515,8.0,18344.0,43.61098996947231,SVI
Mansfield,Tolland,6250,2.0,4706.0,42.49893752656184,SVI
Lebanon,New London,6249,3.0,7215.0,41.58004158004158,
Tolland,Tolland,6084,6.0,14713.0,40.780262353021136,
Enfield,Hartford,6082,18.0,44143.0,40.776567066126,
